# Honghu A1 V2.5 local control derivative table
# alpha and delta in deg; values are coefficient derivative per deg
# total increment = interpolated derivative * signed delta_doc_deg
alpha_deg/delta_deg,-4,4,8
0,0.005,0.005,0.004
4,0.004,0.002,0.001
8,0.002,0.001,-0.002
12,0.001,-0.003,-0.004
