# Honghu A1 Word V2.5 aerodynamic table
# canard coefficient increment table from Word; added delta=0 zero baseline
alpha_deg/delta_deg,-4,0.0,4,8
0,0.019,0,0.017,0.016
4,0.018,0,0.013,0.01
8,0.014,0,0.005,-0.005
12,0.012,0,-0.005,-0.005
