# Honghu A1 Word V2.5 aerodynamic table
# elevator coefficient increment table from Word; added delta=0 zero baseline
alpha_deg/delta_deg,-10,0.0,10,20
0,-0.0003,0,0,0.0007
4,-0.0005,0,-0.0002,0.0002
8,-0.0005,0,-0.001,-0.0006
12,-0.001,0,-0.001,-0.0014
