Source,GroupCount,mean_LiftoffTASMps,std_LiftoffTASMps,mean_LiftoffGroundSpeedMps,std_LiftoffGroundSpeedMps,mean_LiftoffPitchDeg,std_LiftoffPitchDeg,mean_TakeoffRunTimeS,std_TakeoffRunTimeS,mean_TakeoffRunDistanceM,std_TakeoffRunDistanceM,mean_AirborneDurationS,std_AirborneDurationS,mean_CruiseSamples,std_CruiseSamples,mean_CruiseTASMeanMps,std_CruiseTASMeanMps,mean_CruiseHeightMeanM,std_CruiseHeightMeanM,mean_CruiseHeightDetrendStdM,std_CruiseHeightDetrendStdM,mean_CruisePitchDetrendStdDeg,std_CruisePitchDetrendStdDeg,mean_AbsRollMaxDeg,std_AbsRollMaxDeg,mean_TurnSamples,std_TurnSamples,mean_TurnHeightErrorMeanM,std_TurnHeightErrorMeanM,mean_TurnMaxHeightLossM,std_TurnMaxHeightLossM,mean_CrossTrackRMSM,std_CrossTrackRMSM,mean_TouchdownTASMps,std_TouchdownTASMps,mean_TouchdownPitchDeg,std_TouchdownPitchDeg
px4,1,40.91008,0,40.88012,0,3.86598113745889,0,10.8,0,290.673754405332,0,693.3,0,4512,0,44.36298,0,93.40858,0,6.228858,0,0.796170151682736,0,26.1222160948161,0,1719,0,-7.220795,0,14.04637,0,36.4208214776275,0,29.95147,0,-0.239728198181482,0
xiangyi,2,33.85,0.0707123,33.92661,0.02093721,8.37,0.0141421356237319,9.5,0,201.905120982959,0.427622490935472,678.55,0,8918.5,4.94974746830583,44.5072,0.0007984299,97.31247,0.001413437,5.960496,0.0009501586,0.320909277987497,0.00190032068081891,18.02,0.0565685424949226,1991.5,0.707106781186548,0.4279088,0.001934856,1.1785,0.0007071398,26.4117933266924,0.434264077352451,34.5,0,3.03,0
